,FlightNumber
0,HNL_ORD_67902
1,KOA_ORD_105425
2,FWA_ORD_99263
3,CVG_ORD_95819
4,TVC_ORD_58565
5,TOL_ORD_58318
6,GEG_SEA_93406
7,MOT_MSP_66636
8,ALB_PHL_86154
9,SLC_LAS_86259
10,HNL_ATL_78754
11,GEG_SEA_84053
12,SLC_LAX_87664
13,SLC_LAX_64984
14,BOI_SEA_59827
15,BOS_PHL_92547
16,CHS_ATL_73867
17,ROC_ORD_80616
18,DCA_ORD_86493
19,ROA_ATL_78634
20,ANC_SEA_102026
21,LIT_IAH_57934
22,ICT_DFW_65444
23,BOI_SEA_60764
24,ICT_DFW_105017
25,MSY_IAH_57824
26,BGR_LGA_63280
27,TPA_MSY_75268
28,JAX_BNA_72487
29,BGR_LGA_66457
30,ORF_ATL_60686
31,MDT_ORD_81878
32,MDT_ORD_88135
33,FNT_CVG_79736
34,PIT_ORD_76172
35,PIT_ORD_89133
36,TXK_IAH_81074
37,CVG_ORD_65869
38,SAV_ATL_93436
39,CAK_ORD_73761
40,GEG_SEA_69960
41,ABQ_PHX_61330
42,GSO_MCO_60392
43,PNS_ATL_67815
44,ROA_CVG_57014
45,LEX_ORD_67474
46,MSP_MDW_80849
47,MSP_MDW_86349
48,MSP_ORD_74094
49,PIT_CVG_76170
50,JAX_ATL_98780
51,DAY_ORD_62013
52,ATL_ORD_58146
53,CLE_CVG_99067
54,PHX_LAX_89244
55,SLC_CDC_63882
56,MSP_ORD_72937
57,MSP_ORD_105416
58,GSP_ORD_63390
59,BZN_SLC_65988
60,ANC_BET_56960
61,DTW_MEM_104764
62,HPN_ORD_96262
63,MCO_ATL_84114
64,TYS_ORD_75964
65,CLT_ATL_78341
66,LGA_MDW_90684
67,LAX_SMF_88105
68,CMH_ORD_96065
69,DTW_ORD_65606
70,OMA_SLC_94219
71,BIL_SLC_76419
72,HPN_ORD_105024
73,CVG_ATL_105541
74,CVG_ATL_57115
75,OAK_SAN_100199
76,DTW_MEM_104170
77,OAK_BUR_79787
78,SYR_IAD_63125
79,GSO_ATL_97109
80,RDU_EWR_81506
81,MFR_SFO_70055
82,LGA_ORD_102337
83,BTR_MEM_70150
84,EWR_RDU_61655
85,ROC_DTW_96746
86,ROC_DTW_102579
87,LAS_LAX_80958
88,ONT_SMF_86178
89,SMF_SAN_100609
90,CLE_STL_67832
91,BOS_JFK_102406
92,SLC_OAK_77389
93,JFK_CVG_88154
94,FCA_SLC_64140
95,CHO_CVG_100430
96,FCA_SLC_75046
97,SBP_LAX_68158
98,FAT_SLC_82704
99,HPN_ORD_72160
100,JAC_SLC_59267
101,GRR_MSP_76151
102,EWR_MDW_82764
103,RNO_SFO_78687
104,PDX_RNO_92569
105,GSO_JFK_87892
106,ONT_SMF_80424
107,ONT_OAK_57890
108,TUL_DEN_75584
109,SMF_LAX_72824
110,ALB_IAD_98608
111,ORF_CVG_83586
112,DCA_BOS_68805
113,BUF_IAD_93796
114,EKO_SLC_79996
115,ILM_CVG_75147
116,MYR_CVG_95195
117,DTW_IAD_83670
118,OKC_DEN_71500
119,GSP_CVG_65651
120,DEN_SLC_94608
121,MHT_CVG_78130
122,SAT_DFW_75362
123,GRR_MSP_97977
124,GSP_CVG_94283
125,GSP_CVG_64282
126,MFE_DFW_71527
127,RDU_MCO_85236
128,SYR_CVG_56978
129,ABQ_DEN_57270
130,BUF_DCA_90376
131,CLE_STL_100022
132,PSC_SLC_77480
133,BTV_CVG_84483
134,CHO_CVG_75542
135,SBP_SFO_60288
136,SBP_SFO_84986
137,SYR_DCA_82574
138,MLB_ATL_78241
139,ATL_MIA_86706
140,SLC_DEN_63174
141,SLC_DEN_94796
142,SYR_DCA_71179
143,DEN_LAS_88164
144,BNA_ORD_61339
145,EWR_IAD_65733
146,GEG_SLC_67294
147,AUS_DEN_73543
148,EVV_ORD_103457
149,ROC_CLE_101724
150,MSY_ATL_78140
151,MDT_CVG_91746
152,FLL_MEM_91235
153,MCI_ORD_100340
154,BUF_EWR_101036
155,LNK_ORD_101504
156,PDX_SFO_67093
157,LGA_ORD_92878
158,OAK_SNA_100948
159,MAF_HOU_91661
160,MLI_DEN_70253
161,OAK_LAX_100699
162,CMH_DTW_62029
163,DCA_ATL_66462
164,CLT_ORD_84613
165,IAD_CVG_94534
166,SYR_CLE_95978
167,CLT_ORD_87483
168,ROC_ATL_73047
169,ROC_ATL_81841
170,BWI_ATL_92555
171,SLC_SFO_61154
172,FAR_DEN_64148
173,CPR_DEN_81095
174,BWI_ATL_90861
175,LAS_PHX_62850
176,BWI_ATL_81097
177,RDD_SFO_102061
178,CMH_BNA_90278
179,ORF_CVG_86947
180,MCO_DEN_91515
181,LBB_AUS_102124
182,PDX_OAK_62734
183,STL_DEN_84934
184,MTJ_DEN_92090
185,SJC_LAX_95034
186,MCO_DEN_96679
187,CLE_MKE_59888
188,ROC_IAD_96214
189,OAK_LAX_90808
190,SMF_ONT_71417
191,BOS_PIT_67989
192,SFO_LAS_99429
193,EUG_SFO_60091
194,STL_MSP_89794
195,DAY_ATL_90362
196,CLE_LGA_88403
197,SBA_SFO_73811
198,GFK_MSP_81969
199,ALB_DTW_88565
200,TVC_MSP_67591
201,MSP_DEN_68553
202,DFW_MSY_64902
203,PHL_ATL_57596
204,DAL_MSY_65173
205,RIC_LGA_72420
206,RSW_MEM_86571
207,CLE_BWI_82038
208,JAN_HOU_102721
209,OAK_LGB_100013
210,TUL_HOU_56943
211,MDW_MSP_68151
212,MHT_BWI_59891
213,JAN_HOU_89359
214,SJC_SNA_80507
215,BWI_PVD_97955
216,SFO_LAS_78827
217,BWI_DEN_97179
218,CID_CVG_102559
219,FNT_MSP_60974
220,RSW_ATL_97637
221,COS_LAX_85496
222,RSW_ATL_88301
223,ATL_XNA_72529
224,DCA_DTW_92123
225,ATL_XNA_81150
226,MHT_EWR_98298
227,SNA_SJC_61953
228,JAN_HOU_103625
229,ATL_DFW_100983
230,JAN_HOU_81199
231,BWI_BUF_64129
232,DTW_DCA_70435
233,LAX_SFO_67099
234,DAY_ATL_56940
