FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,ActualArrivalTimeStamp
BOS_CLE_29089,2004,9,20,1,1000,1154,114,BOS,CLE,563,20-09-2004 11:54
CLE_ATL_44346,2004,11,19,5,1440,1634,114,CLE,ATL,554,19-11-2004 18:55
SNA_LAS_44378,2004,5,4,2,1800,1902,62,SNA,LAS,226,04-05-2004 19:02
CLT_TPA_51502,2004,7,6,2,1400,1533,93,CLT,TPA,508,06-07-2004 15:33
MSP_ORD_44884,2004,9,23,4,830,946,76,MSP,ORD,334,23-09-2004 09:46
CVG_GRR_45655,2004,9,26,7,1730,1832,62,CVG,GRR,268,26-09-2004 18:32
DFW_STL_53369,2004,5,5,3,1330,1517,107,DFW,STL,551,05-05-2004 15:17
ACV_SFO_50785,2004,9,15,3,655,758,63,ACV,SFO,250,15-09-2004 07:58
BHM_DFW_34260,2004,5,28,5,1425,1625,120,BHM,DFW,597,28-05-2004 18:39
DFW_PIT_33678,2004,9,11,6,847,1223,156,DFW,PIT,1068,11-09-2004 12:23
GNV_ATL_31276,2004,7,18,7,1520,1658,98,GNV,ATL,300,18-07-2004 19:07
DFW_SJU_32640,2004,3,24,3,1521,2143,262,DFW,SJU,2165,24-03-2004 21:43
GJT_SLC_30446,2004,1,3,6,1143,1248,65,GJT,SLC,217,03-01-2004 12:48
IAD_DAY_32236,2004,5,21,5,915,1106,111,IAD,DAY,368,21-05-2004 11:06
SNA_DFW_49976,2004,5,18,2,815,1310,175,SNA,DFW,1205,18-05-2004 13:10
IAH_MEM_41435,2004,11,16,2,1535,1709,94,IAH,MEM,469,16-11-2004 17:09
ATL_JAX_34808,2004,3,18,4,1438,1546,68,ATL,JAX,270,18-03-2004 15:46
LGB_JFK_40880,2004,9,25,6,900,1720,320,LGB,JFK,2465,25-09-2004 17:20
RDU_LGA_31104,2004,7,2,5,1430,1555,85,RDU,LGA,431,02-07-2004 15:55
MDW_CLT_45044,2004,3,21,7,825,1110,105,MDW,CLT,584,21-03-2004 11:10
DTW_ATL_40715,2004,9,7,2,1517,1711,114,DTW,ATL,594,07-09-2004 17:11
MDW_SFO_45960,2004,7,5,1,650,915,265,MDW,SFO,1855,05-07-2004 09:15
SEA_EWR_40205,2004,5,22,6,810,1621,311,SEA,EWR,2401,22-05-2004 18:45
DFW_MCO_32984,2004,5,9,7,1320,1656,156,DFW,MCO,984,09-05-2004 16:56
DFW_LAX_40788,2004,11,17,3,930,1052,202,DFW,LAX,1235,17-11-2004 12:24
ORD_LAS_30907,2004,7,3,6,1450,1643,233,ORD,LAS,1515,03-07-2004 16:43
SMF_DEN_32833,2004,9,17,5,1655,2011,136,SMF,DEN,910,17-09-2004 20:11
TPA_DFW_46827,2004,9,19,7,1720,1859,159,TPA,DFW,929,19-09-2004 18:59
MDW_BNA_29314,2004,3,19,5,1200,1315,75,MDW,BNA,395,19-03-2004 13:15
MIA_SJU_52400,2004,5,26,3,1420,1651,151,MIA,SJU,1045,26-05-2004 16:51
GJT_DEN_49115,2004,11,28,7,1620,1727,67,GJT,DEN,212,28-11-2004 19:28
DFW_MSY_28370,2004,1,4,7,1452,1612,80,DFW,MSY,448,04-01-2004 16:12
DFW_PHX_41215,2004,7,8,4,605,627,142,DFW,PHX,868,08-07-2004 06:27
LGA_CLT_35272,2004,3,8,1,700,908,128,LGA,CLT,544,08-03-2004 09:08
SEA_SAN_53396,2004,9,1,3,1045,1326,161,SEA,SAN,1050,01-09-2004 13:26
TYS_CVG_31546,2004,9,10,5,1350,1505,75,TYS,CVG,226,10-09-2004 15:05
HOU_BWI_52559,2004,7,10,6,1510,1915,185,HOU,BWI,1246,10-07-2004 19:15
CLT_ORF_37329,2004,9,9,4,820,930,70,CLT,ORF,290,09-09-2004 09:30
CHA_CVG_30655,2004,7,1,4,1415,1530,75,CHA,CVG,278,01-07-2004 17:30
MEM_DTW_28826,2004,5,14,5,1340,1634,114,MEM,DTW,610,14-05-2004 16:34
EWR_DAB_34655,2004,11,7,7,1430,1659,149,EWR,DAB,884,07-11-2004 16:59
ABQ_DAL_26476,2004,9,28,2,1410,1645,95,ABQ,DAL,580,28-09-2004 16:45
CLE_DTW_47868,2004,11,9,2,1700,1801,61,CLE,DTW,95,09-11-2004 18:01
ATL_AVL_26738,2004,5,25,2,949,1056,67,ATL,AVL,164,25-05-2004 10:56
SEA_OAK_42573,2004,3,3,3,1320,1520,120,SEA,OAK,671,03-03-2004 15:20
ANC_BET_34057,2004,11,2,2,1352,1510,78,ANC,BET,399,02-11-2004 15:10
ATL_BWI_31783,2004,5,30,7,1540,1728,108,ATL,BWI,576,30-05-2004 17:28
MCI_PHX_28689,2004,5,13,4,826,919,173,MCI,PHX,1044,13-05-2004 10:02
SAT_DFW_52966,2004,11,22,1,1550,1656,66,SAT,DFW,247,22-11-2004 19:37
DEN_BUR_29367,2004,1,3,6,1710,1830,140,DEN,BUR,850,03-01-2004 18:30
MDW_LAX_53047,2004,11,24,3,725,955,270,MDW,LAX,1750,24-11-2004 11:51
MCI_SLC_53833,2004,7,7,3,1545,1715,150,MCI,SLC,919,07-07-2004 17:15
LGA_DTW_35190,2004,9,9,4,1758,1959,121,LGA,DTW,501,09-09-2004 19:59
BUR_OAK_29484,2004,5,5,3,1340,1450,70,BUR,OAK,325,05-05-2004 14:50
IAH_SAN_39649,2004,11,28,7,1752,1910,198,IAH,SAN,1303,28-11-2004 19:10
DFW_LAX_51632,2004,7,28,3,1612,1715,183,DFW,LAX,1235,28-07-2004 18:33
BOS_OAK_55049,2004,9,10,5,820,1200,400,BOS,OAK,2693,10-09-2004 12:00
LAN_IAD_35363,2004,9,26,7,945,1122,97,LAN,IAD,458,26-09-2004 11:22
EWR_CHS_40050,2004,7,8,4,1515,1727,132,EWR,CHS,628,08-07-2004 17:27
CLT_PBI_42574,2004,5,25,2,1020,1209,109,CLT,PBI,590,25-05-2004 12:09
BDL_PHL_32501,2004,9,2,4,1520,1632,72,BDL,PHL,196,02-09-2004 16:32
