FlightNumber,FlightDelayStatus
DEN_XNA_62349,2
RIC_EWR_87213,2
IAD_GSO_86576,2
SAV_CVG_87264,2
SBP_LAX_68158,2
LGA_PWM_89349,2
STL_LIT_83427,2
ORD_STL_101923,2
ONT_PHX_70779,2
LGA_MIA_65916,2
SMF_LAX_68139,2
SNA_SEA_64562,2
MCO_EWR_96399,2
ORD_LAS_66622,2
TPA_IAH_69434,2
PHL_STT_96229,2
OAK_LAX_87163,2
ORD_ROC_68704,2
RDU_PHL_91819,2
STL_PHX_64262,2
ATL_CRP_81399,2
LAX_MCI_58834,2
TUL_IAH_72277,2
AUS_LBB_71832,2
DFW_DCA_81618,2
ROC_ORD_59312,2
BHM_CVG_100376,2
FLL_IAH_95019,2
SLC_MCI_82134,2
ORD_ATL_72441,2
MCI_MSP_89419,2
ISP_PBI_79823,2
ATL_ALB_100729,2
HOU_TUL_63213,2
BWI_JAX_58520,2
MDW_DTW_84359,2
PHX_SMF_63315,2
SFO_ACV_72678,2
DCA_CMH_64355,2
CVG_MHT_63130,2
ICT_ATL_61706,2
BOS_LGA_101325,2
SNA_SFO_70405,2
SEA_MCI_62812,2
XNA_CVG_70613,2
CVG_CAK_81023,2
DFW_EGE_103707,2
CMH_BWI_87707,2
ORD_MCO_77416,2
BDL_DFW_101066,2
SEA_PHX_87588,2
PHX_SEA_80255,2
GRR_CVG_87376,2
PDX_SFO_84904,2
SLC_ORD_78189,2
RNO_PHX_67932,2
JFK_BOS_98228,2
TPA_CVG_104947,2
CHS_JFK_105460,2
IAH_MCI_77865,2
STL_ORD_93684,2
CMH_CLT_77591,2
MSY_DEN_71550,2
CVG_ORD_80112,2
CHS_LGA_97783,2
DTW_LGA_99800,2
DFW_GSO_96237,2
DFW_ORD_104655,2
DEN_SAT_82515,2
DEN_ICT_94174,2
SNA_SJC_92441,2
EWR_SJC_104770,2
MHT_PHL_84357,2
CVG_STL_65798,2
TOL_ORD_58318,2
FLL_ISP_69353,2
STL_DFW_95824,2
MSP_MDW_80849,2
FLL_LGA_84383,2
IAH_DFW_77423,2
MSP_LAX_67353,2
IAH_SDF_90313,2
SNA_CVG_79995,2
MIA_ATL_94416,2
IAH_CVG_84726,2
BOS_DTW_85808,2
RDU_CVG_69549,2
OKC_SLC_56950,2
JFK_PBI_82080,2
JAX_FLL_59195,2
BNA_IAD_95656,2
LAX_BWI_69754,2
AUS_DEN_73543,2
GPT_IAH_70437,2
ATL_AGS_96678,2
ORD_PHL_86369,2
ATL_HOU_87689,2
PHL_PIT_73942,2
DCA_BOS_78364,2
LGA_DFW_78773,2
TUS_LAX_89925,2
MKE_CVG_76589,2
MCO_DCA_66343,2
LGA_MIA_76628,2
LAX_BWI_98646,2
IAD_SEA_73267,2
ATL_EWR_65839,2
FAT_SLC_88744,2
STL_JFK_101485,2
JFK_PNS_103081,2
IAH_ORD_74957,2
DFW_SLC_81901,2
CMH_LAS_104283,2
LAS_ORD_74737,2
GNV_ATL_71860,2
LGA_MSP_58451,2
LYH_ATL_89195,2
LGA_ORD_92878,2
BDL_ATL_91196,2
OAK_LAX_92281,2
JAX_JFK_94068,2
TUL_HOU_56943,2
DFW_CRP_83866,2
EWR_DEN_104232,2
LGA_ORD_88840,2
PHX_PHL_96538,2
ELP_HOU_69653,2
CLT_PHL_93628,2
BOS_MSP_88698,2
ATL_MCO_71113,2
XNA_DFW_66782,2
STL_SFO_67212,2
ELP_AUS_62376,2
LGA_ORD_90119,2
JAN_HOU_102721,2
PHX_DFW_92311,2
PHF_ATL_64891,2
ATL_CAK_84600,2
CVG_CHA_65939,2
MDW_DEN_93553,2
IAH_SEA_86962,2
HSV_TPA_67256,2
BUR_SEA_98818,2
ORD_SNA_77000,2
MHT_CLE_81658,2
ORD_STL_94352,2
PHX_SAN_88879,2
ATL_MIA_73209,2
ATL_GRR_70146,2
RDU_EWR_88942,2
AUS_ORD_94776,2
BOS_ORF_75216,2
CLE_SFO_87330,2
CLE_DEN_103294,2
PIT_DEN_68748,2
SFO_PDX_86167,2
MSY_CLT_59192,2
IND_DCA_100121,2
PHX_DFW_65278,2
SFO_SBA_66117,2
GRB_CVG_75826,2
ANC_SEA_82136,2
PHL_SJU_74810,2
RDU_IAH_63381,2
MDW_SJC_93734,2
DCA_DFW_88589,2
ABQ_PHX_60853,2
CVG_IAH_85626,2
ORD_SFO_59217,2
MSP_DFW_97717,2
ORD_CVG_92903,2
PHL_RIC_95209,2
CVG_SRQ_101788,2
SNA_DFW_62136,2
ORD_ATL_97198,2
FLL_LGA_86995,2
ORD_EVV_76408,2
LIT_HOU_92931,2
IAD_ATL_92988,2
TVC_MSP_67591,2
SAN_SFO_95007,2
MCO_ORD_80838,2
SLC_LAS_87004,2
FLL_ISP_96922,2
BOS_OAK_64321,2
JAX_IAH_104644,2
PIT_ATL_86379,2
CVG_MCO_59661,2
ORD_HNL_87003,2
PNS_ATL_75486,2
ROC_IAD_96214,2
PHX_ONT_57375,2
DFW_HOU_58659,2
ATL_BUF_62586,2
ORD_SGF_74028,2
PHX_PDX_77495,2
BOS_PHL_97526,2
PIT_TPA_71611,2
BOI_SLC_102495,2
FAI_ANC_94312,2
BFL_SLC_101748,2
PDX_CVG_80152,2
MDW_MSP_102448,2
ATL_MDW_85700,2
DFW_CMH_99751,2
MHT_BWI_97058,2
DCA_ROC_97493,2
PHL_JAX_69277,2
DCA_CVG_73163,2
IAD_SAV_81379,2
DFW_CLL_73979,2
MHT_EWR_98298,2
DEN_SAT_78504,2
JFK_DTW_65008,2
PHL_BOS_98753,2
MSP_MCO_86452,2
EWR_IND_81483,2
DFW_SAT_70517,2
LAX_MDW_62969,2
SAN_MSP_101839,2
DFW_PVD_68802,2
ROC_CVG_97369,2
ATL_HOU_99780,2
FCA_SLC_66757,2
ORD_DEN_72599,2
LGA_CHS_58122,2
DEN_PHL_82820,2
DFW_PHX_79875,2
LEX_ATL_99104,2
DEN_OAK_80254,2
SNA_ORD_67507,2
ATL_TUL_83069,2
AGS_ATL_71391,2
ATL_RDU_91152,2
SAN_SJC_79244,2
LAX_ORD_105366,2
MIA_RDU_59500,2
SJU_ATL_90900,2
MIA_SJU_62423,2
ORD_XNA_65795,2
ORD_PVD_103724,2
JFK_LAX_57049,2
CLE_RDU_80772,2
DFW_DTW_104263,2
DFW_SGF_73338,2
DEN_DFW_101303,2
CLT_PVD_57379,2
DTW_DFW_56832,2
DFW_CLL_66452,2
DEN_PHX_75634,2
IAD_DTW_68759,2
BWI_DFW_99440,2
MSP_EWR_84575,2
JAN_CVG_70302,2
LAX_DEN_97067,2
LGA_CLE_60260,2
ATL_ROA_81364,2
CVG_PNS_67574,2
BDL_RSW_84763,2
ORD_LAS_102247,2
BWI_SLC_59510,2
SLC_DEN_70740,2
TYS_CVG_67243,2
SRQ_CVG_89913,2
CLE_PHL_98392,2
IAH_LGA_63806,2
CRP_IAH_81117,2
PHL_DFW_65433,2
DFW_EWR_62078,2
GSO_IAH_70528,2
DTW_LGA_77916,2
MDW_ATL_83761,2
GTF_MSP_66195,2
PHX_HOU_63090,2
BOS_LGA_75550,2
MDW_MCI_75955,2
ORD_RIC_71047,2
CVG_MSP_95392,2
LGA_ORD_89247,2
PHL_MCO_105253,2
IND_MCO_84890,2
ATL_AUS_83980,2
BGR_EWR_91223,2
IAH_RIC_103710,2
SJC_MSP_65270,2
DEN_MRY_83017,2
JAX_LGA_93818,2
SAN_OAK_102769,2
SLC_SBA_76109,2
MSY_MSP_100879,2
MCO_CVG_67751,2
DTW_IND_103944,2
LGA_GSO_102360,2
PHX_PDX_93574,2
DEN_CPR_65884,2
SJU_PHL_78177,2
TPA_DCA_101454,2
BOS_DCA_61540,2
GEG_SEA_100968,2
TPA_IAH_92618,2
OKC_ATL_73180,2
ORD_IAD_72510,2
MCO_BNA_87167,2
ORD_CLE_76442,2
ATL_DFW_100983,2
DFW_DCA_69077,2
LAX_JFK_94077,2
MKE_CLE_70995,2
DTW_MSP_77941,2
MSP_IAH_95050,2
MTJ_DEN_85142,2
ORD_SLC_83243,2
ORD_MSP_81112,2
BOS_LGA_100938,2
SAN_SMF_95766,2
LBB_AUS_85920,2
SMF_SAN_82382,2
LIH_LAX_70477,2
BOS_JFK_102406,2
PHX_MCI_71513,2
BDL_RDU_58993,2
ATL_SEA_85174,2
MCO_ATL_104675,2
MDW_DTW_90754,2
LAX_DEN_56942,2
PVD_PHL_89826,2
CMH_LAS_68209,2
LAS_LIT_93544,2
PHL_MHT_72115,2
BWI_DTW_66148,2
ORD_TUL_62074,2
MKE_MSP_93233,2
PDX_LAX_61930,2
CMH_EWR_76125,2
SLC_HLN_98326,2
AUS_IAH_80389,2
CHS_JFK_103644,2
OMA_ATL_74671,2
RDU_PHL_56954,2
MDW_PHX_101345,2
PHX_SNA_88633,2
CLT_LAS_71409,2
DFW_LAS_59173,2
SLC_PHX_68721,2
MDW_MSP_66270,2
ATL_DFW_94614,2
SJC_DFW_84476,2
PHX_ELP_93261,2
JFK_IAD_102174,2
ORD_TUL_75488,2
IAH_STL_90118,2
PFN_MCO_87148,2
JFK_LGB_76187,2
PHL_MCO_80370,2
ALB_DTW_70584,2
MTJ_DEN_92090,2
ATL_CAE_77041,2
ORD_GSO_68522,2
DFW_ORD_83909,2
AVL_EWR_78127,2
SBN_ATL_66705,2
IAH_OAK_96437,2
OAK_IAH_63424,2
MSP_EWR_96075,2
LGA_CLT_75041,2
PHL_MHT_82727,2
MSY_ATL_61608,2
CMH_LAS_93337,2
ATL_LYH_100620,2
SLC_SNA_65448,2
OAK_LGB_71775,2
CLE_MDW_65562,2
ORD_EWR_58616,2
ATL_HPN_78608,2
EWR_DAB_105128,2
BWI_ORD_68892,2
IAH_BHM_87669,2
MDW_LAS_67183,2
ROC_ATL_57993,2
PBI_CLT_88853,2
ORD_PHX_57520,2
MDW_DTW_67410,2
ATL_MCI_89362,2
DFW_ATL_57381,2
JFK_BWI_96349,2
DTW_LGA_79517,2
LIT_LAS_69844,2
LAS_LAX_74662,2
PNS_CVG_83630,2
ORD_DFW_71497,2
PIA_DFW_96054,2
JAN_IAH_71435,2
BOS_LGA_87536,2
IAH_PHX_91596,2
DFW_STL_103062,2
DCA_CVG_92165,2
LGA_JAX_101150,2
PHL_JAX_62778,2
LEX_EWR_103037,2
DEN_DTW_83133,2
CMH_IAH_105601,2
HKY_ATL_71388,2
IAH_LIT_66008,2
IAH_LAX_95466,2
ATL_ILM_83886,2
FCA_SLC_81679,2
MSP_PHL_68986,2
MIA_CLE_80731,2
HOU_LAS_93145,2
MDW_CMH_102405,2
DTW_ATL_95842,2
PBI_PHL_73557,2
DEN_SEA_99816,2
RDU_LGA_100984,2
ORD_CLE_78418,2
CVG_LIT_88421,2
ATL_SFO_86924,2
DFW_ORD_60195,2
EWR_ORD_81674,2
IAD_PWM_99494,2
SFO_ORD_96750,2
LAX_PHX_63087,2
MSP_PHL_56996,2
PHX_SJC_79298,2
ORD_MBS_62763,2
LAX_SFO_67099,2
COS_CVG_100881,2
EWR_MSY_68280,2
TXK_DFW_69080,2
ORF_JFK_96142,2
ORD_MEM_96468,2
PHX_LAX_75236,2
BNA_DTW_92012,2
HNL_ATL_78754,2
PHX_LAX_75715,2
HSV_IAH_62543,2
ATL_MEI_105242,2
CVG_CAK_101878,2
TRI_ATL_96766,2
ROC_ATL_90415,2
CVG_CLT_98855,2
OAK_PHL_89856,2
TPA_PHL_94620,2
SBA_SLC_86173,2
BFL_SLC_78733,2
ORD_PSP_96037,2
PHL_LAX_104475,2
DEN_BZN_102518,2
SYR_EWR_91040,2
LGA_CLT_99361,2
PHX_PDX_64652,2
ATL_MDW_58704,2
OMA_DEN_65009,2
PDX_LAX_74879,2
MCI_DTW_105442,2
STL_LGA_94862,2
LAX_OAK_70660,2
ATL_CHO_69636,2
BOS_MCO_65114,2
DFW_LAS_104116,2
JFK_SEA_62593,2
SLC_LIT_102379,2
MSY_BNA_88328,2
MCO_PHL_66206,2
LGA_BOS_102553,2
DFW_DTW_68839,2
ATL_HOU_95248,2
DFW_SJT_73078,2
PWM_ATL_78239,2
MDW_MCO_62222,2
ORD_XNA_98655,2
ISP_CVG_99915,2
DAY_ATL_73708,2
ATL_PHL_74006,2
ORD_EWR_100190,2
CHS_LGA_82340,2
SFO_BOS_94920,2
CVG_MCO_75491,2
DTW_PHL_88366,2
DAL_MSY_65173,2
CMH_MSP_95276,2
JFK_ORF_62672,2
DTW_IAD_83670,2
DTW_LGA_86917,2
SEA_SFO_82440,2
MIA_CLT_95807,2
PBI_EWR_82251,2
CMH_MIA_67497,2
TPA_PHX_88083,2
SBP_SFO_91480,2
LGA_CAE_60219,2
LAX_LAS_63207,2
SAN_SEA_63226,2
DCA_ORD_90865,2
LAS_MDW_68622,2
SEA_MDW_76139,2
SNA_ORD_87967,2
JFK_LAS_87361,2
MSP_LGA_96965,2
BWI_BNA_63909,2
LGA_RIC_82454,2
EVV_ORD_77017,2
DEN_MCI_97478,2
DEN_SAN_57400,2
ATL_IAH_86789,2
TPA_DCA_74382,2
ATL_SJU_61349,2
JFK_GSO_92511,2
DFW_LAS_83977,2
MSP_CVG_76988,2
LGA_CAE_78913,2
CLT_ATL_78341,2
DEN_DCA_80512,2
DFW_LAX_105610,2
DTW_LGA_56877,2
RIC_CVG_79090,2
IAH_DTW_75573,2
IAH_HRL_87313,2
DTW_LGA_80807,2
SFO_DFW_73804,2
SLC_SAN_67304,2
DEN_PIT_61794,2
IAD_EWR_89631,2
CMH_IAD_75722,2
MHT_BWI_57571,2
ATL_MDW_83311,2
ATL_IAH_73870,2
IAH_ATL_82636,2
ORD_CVG_92532,2
LAX_DEN_103616,2
DFW_PHL_87247,2
MDW_JAN_80391,2
DFW_MIA_80105,2
ROA_ATL_62840,2
CLT_BHM_95515,2
MSP_MDW_64330,2
PIT_MCO_98196,2
IAD_CLT_77802,2
ATL_FNT_70717,2
MSP_LGA_80056,2
SNA_DFW_77555,2
DFW_MSP_69679,2
MCO_DEN_91515,2
PIT_DFW_63414,2
IAH_MFE_67252,2
BDL_BWI_59235,2
LIT_CVG_73285,2
BWI_MIA_75389,2
GPT_ATL_61682,2
LAS_SAT_81077,2
SFO_SLC_70102,2
MCO_SJU_88713,2
ATL_IAH_87353,2
MSP_ORD_80406,2
OAK_BUR_69404,2
BWI_FLL_81544,2
IAH_ORD_63872,2
ORD_BHM_67797,2
LBB_IAH_87869,2
BDL_MDW_70903,2
LAS_HOU_71264,2
SNA_PHX_66716,2
JFK_LGB_87272,2
DTW_ATL_81590,2
HSV_CVG_91780,2
PHX_ABQ_85089,2
LAS_LAX_100053,2
CLE_DFW_105331,2
LGA_DTW_100483,2
ATL_PNS_65927,2
RSW_CVG_64106,2
BOI_SEA_99888,2
FLL_ATL_85220,2
COS_IAH_90158,2
DTW_RDU_86786,2
SLC_MSO_84953,2
BUF_ORD_67033,2
GSP_CVG_64319,2
OMA_SLC_94219,2
SFO_BOI_91252,2
DSM_CVG_97489,2
SJC_AUS_66038,2
MKE_LAS_94476,2
EWR_DFW_91939,2
MDT_CVG_79533,2
MCO_PHL_94525,2
ATL_FWA_76395,2
RDU_BOS_56886,2
SAT_DFW_72558,2
LAS_CMH_60014,2
ORD_ROC_90784,2
IAH_PDX_61501,2
IAD_JFK_72281,2
LGA_MCO_88285,2
BWI_SFO_80741,2
DFW_BTR_101083,2
DCA_SYR_63092,2
CVG_SAT_67541,2
ORD_DSM_74304,2
DTW_BOS_67583,2
BWI_DFW_102415,2
DEN_IAH_73898,2
SGU_SLC_70340,2
LGA_DCA_87317,2
CVG_SHV_60701,2
CVG_OKC_68561,2
ORD_SNA_104296,2
ABQ_CVG_82058,2
CLE_ATL_83658,2
BOS_DCA_92242,2
ORD_CVG_61127,2
DFW_LAW_57642,2
TUS_DEN_95880,2
ATL_AVP_99896,2
MHT_BWI_70822,2
IAH_ATL_104272,2
CVG_CAE_80548,2
TPA_ATL_102848,2
MSP_MCI_100654,2
MCI_ATL_81293,2
SAV_ORD_60665,2
BNA_ORD_103063,2
HOU_MDW_71096,2
SHV_ATL_68969,2
HOU_ELP_73385,2
IAH_STL_64599,2
ATL_IND_62920,2
EWR_MCO_67486,2
EVV_ORD_66097,2
ORD_DCA_98962,2
SEA_ANC_78682,2
MSP_MCO_78603,2
RDM_SFO_86080,2
LGA_MEM_101360,2
FLL_BOS_57957,2
PHL_ATL_61106,2
DCA_BUF_95666,2
PHL_DFW_104438,2
PIT_ORD_78421,2
JAX_BWI_64373,2
RDU_MIA_56935,2
HNL_SEA_103927,2
OAK_JFK_59291,2
LGA_RIC_63323,2
EVV_ATL_70513,2
DFW_HOU_102392,2
IAH_BOS_72303,2
STL_TPA_97214,2
GRR_ATL_66334,2
ATL_MEM_82696,2
DEN_IAH_95161,2
SJC_PHX_95306,2
SFO_FAT_92889,2
SAV_IAD_98543,2
AUS_SLC_69515,2
ORD_SAT_85480,2
BOS_CLT_94802,2
DFW_ORF_84257,2
EWR_MSP_98294,2
ROC_ORD_80616,2
CLT_ATL_77156,2
MCO_BDL_82059,2
PHX_STL_99854,2
DEN_ORD_85794,2
MCO_GSO_58431,2
CLT_PIT_60469,2
SNA_CVG_76224,2
DCA_EWR_58916,2
MSY_MEM_80486,2
DTW_BDL_88930,2
IAH_GPT_91570,2
ATL_FWA_72167,2
DCA_ORD_85788,2
ORD_RIC_84877,2
MDT_DTW_59692,2
MDW_DTW_89574,2
SNA_OAK_91362,2
LIT_ATL_73769,2
MCO_DFW_68519,2
DFW_LGA_96933,2
DEN_RAP_100902,2
PHL_SEA_103690,2
MHT_PHL_62178,2
SLC_PHX_99183,2
JAX_JFK_70643,2
ORD_LAS_82947,2
MHT_BWI_77197,2
MCO_SFO_73605,2
PHL_MSY_105678,2
ANC_OTZ_67526,2
MDW_BWI_73315,2
BOS_BWI_77301,2
MGM_ATL_75905,2
BDL_CLE_83396,2
ORD_OKC_61944,2
DFW_ICT_67719,2
CVG_PNS_62340,2
DEN_MSO_67036,2
DFW_DCA_65362,2
GSO_BOS_83861,2
PHL_CHS_58056,2
DCA_PHX_61996,2
JFK_RSW_70242,2
IAH_PHL_78391,2
OAK_PHX_71192,2
PHF_ATL_100929,2
SAV_LGA_62936,2
MSP_PHL_79944,2
MCI_IAH_103605,2
MDW_PHL_58765,2
EWR_MSP_67666,2
BHM_MDW_75386,2
ALB_DTW_88565,2
PVD_MCO_80328,2
ORD_CHS_99554,2
DEN_SEA_70752,2
ORD_RDU_73516,2
SMF_ONT_71417,2
IND_LAX_84092,2
CLT_IAH_91324,2
MCO_ATL_78150,2
OKC_CVG_83704,2
DTW_LGA_83428,2
STL_MCO_90719,2
SNA_SEA_68353,2
DCA_IAH_84824,2
ORD_TPA_95272,2
RDU_JFK_81747,2
ATL_IAD_64981,2
FAR_ORD_64021,2
DFW_CAE_68726,2
JFK_LAX_85647,2
DTW_DCA_69331,2
MLB_IAD_82841,2
EWR_ALB_94184,2
BHM_MDW_61070,2
PHL_FLL_57380,2
BUF_PHL_62355,2
CVG_MSP_104717,2
SFO_MSP_103653,2
IAD_HSV_69909,2
PHL_RDU_78591,2
FWA_ORD_99263,2
ATL_MEM_97354,2
EWR_ATL_75849,2
SRQ_ATL_77770,2
LAX_SJC_68212,2
LAX_HNL_79732,2
BWI_SLC_82239,2
DCA_BOS_70143,2
BOS_JFK_81634,2
IAH_DEN_92964,2
MSP_ATL_68148,2
STL_EWR_63162,2
EWR_SAN_70093,2
MCO_MIA_67788,2
CMH_PHL_103783,2
DEN_LNK_96019,2
BWI_MDW_64730,2
ATL_LGA_100818,2
TUS_DFW_85029,2
ATL_PIT_94941,2
LGA_CHS_86104,2
TLH_JFK_95957,2
ATL_SJU_96753,2
CVG_LAS_99578,2
MDW_IAD_90171,2
ABQ_DEN_57270,2
DEN_SNA_98615,2
CMH_IAD_64643,2
DFW_SMF_79608,2
DFW_BWI_58734,2
LGA_DCA_66127,2
BOS_PBI_100426,2
DFW_MKE_91459,2
BDL_MCO_77980,2
DEN_DFW_59070,2
LAX_DFW_87098,2
AGS_ATL_99092,2
MIA_ORD_101474,2
DEN_MCI_78975,2
CVG_PHX_73728,2
OAK_SEA_96403,2
DFW_AMA_101714,2
MKE_CVG_92952,2
IAD_JFK_79830,2
